# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348800
# River:                 PO, FIUME
# Station:               PONTELAGOSCURO
# Country:               --
# Latitude (DD):       44.883335
# Longitude (DD):      11.6
# Catchment area (km²):      
# Altitude (m ASL):        8.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1918 - 1998
# No. of years:          81
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 963
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1926-09-01;--:--;    998.000;   -999.000;   0
1926-10-01;--:--;   1200.000;   -999.000;   0
1926-11-01;--:--;   5060.000;   -999.000;   0
1926-12-01;--:--;   2550.000;   -999.000;   0
1927-01-01;--:--;   1960.000;   -999.000;   0
1927-02-01;--:--;   1350.000;   -999.000;   0
1927-03-01;--:--;   2090.000;   -999.000;   0
1927-04-01;--:--;   1500.000;   -999.000;   0
1927-05-01;--:--;   1730.000;   -999.000;   0
1927-06-01;--:--;   1790.000;   -999.000;   0
1927-07-01;--:--;   1510.000;   -999.000;   0
1927-08-01;--:--;   1040.000;   -999.000;   0
1927-09-01;--:--;   1250.000;   -999.000;   0
1927-10-01;--:--;   1360.000;   -999.000;   0
1927-11-01;--:--;   1740.000;   -999.000;   0
1927-12-01;--:--;   2210.000;   -999.000;   0
1928-01-01;--:--;   1370.000;   -999.000;   0
1928-02-01;--:--;   1100.000;   -999.000;   0
1928-03-01;--:--;   1670.000;   -999.000;   0
1928-04-01;--:--;   2910.000;   -999.000;   0
1928-05-01;--:--;   2340.000;   -999.000;   0
1928-06-01;--:--;   2060.000;   -999.000;   0
1928-07-01;--:--;   1100.000;   -999.000;   0
1928-08-01;--:--;    631.000;   -999.000;   0
1928-09-01;--:--;   1240.000;   -999.000;   0
1928-10-01;--:--;   1630.000;   -999.000;   0
1928-11-01;--:--;   4230.000;   -999.000;   0
1928-12-01;--:--;   1340.000;   -999.000;   0
1929-01-01;--:--;   1060.000;   -999.000;   0
1929-02-01;--:--;   1020.000;   -999.000;   0
1929-03-01;--:--;   1160.000;   -999.000;   0
1929-04-01;--:--;    951.000;   -999.000;   0
1929-05-01;--:--;   1590.000;   -999.000;   0
1929-06-01;--:--;   1330.000;   -999.000;   0
1929-07-01;--:--;    654.000;   -999.000;   0
1929-08-01;--:--;    988.000;   -999.000;   0
1929-09-01;--:--;    700.000;   -999.000;   0
1929-10-01;--:--;   1160.000;   -999.000;   0
1929-11-01;--:--;   1190.000;   -999.000;   0
1929-12-01;--:--;   1300.000;   -999.000;   0
1930-01-01;--:--;   1160.000;   -999.000;   0
1930-02-01;--:--;   1480.000;   -999.000;   0
1930-03-01;--:--;   1940.000;   -999.000;   0
1930-04-01;--:--;   2140.000;   -999.000;   0
1930-05-01;--:--;   2940.000;   -999.000;   0
1930-06-01;--:--;   2480.000;   -999.000;   0
1930-07-01;--:--;   1900.000;   -999.000;   0
1930-08-01;--:--;   1190.000;   -999.000;   0
1930-09-01;--:--;   1350.000;   -999.000;   0
1930-10-01;--:--;   1320.000;   -999.000;   0
1930-11-01;--:--;    852.000;   -999.000;   0
1930-12-01;--:--;   1140.000;   -999.000;   0
1931-01-01;--:--;    798.000;   -999.000;   0
1931-02-01;--:--;    973.000;   -999.000;   0
1931-03-01;--:--;   1280.000;   -999.000;   0
1931-04-01;--:--;    868.000;   -999.000;   0
1931-05-01;--:--;   1870.000;   -999.000;   0
1931-06-01;--:--;   1510.000;   -999.000;   0
1931-07-01;--:--;    779.000;   -999.000;   0
1931-08-01;--:--;    825.000;   -999.000;   0
1931-09-01;--:--;   1070.000;   -999.000;   0
1931-10-01;--:--;    864.000;   -999.000;   0
1931-11-01;--:--;   2220.000;   -999.000;   0
1931-12-01;--:--;   1150.000;   -999.000;   0
1932-01-01;--:--;    814.000;   -999.000;   0
1932-02-01;--:--;    647.000;   -999.000;   0
1932-03-01;--:--;    980.000;   -999.000;   0
1932-04-01;--:--;   1170.000;   -999.000;   0
1932-05-01;--:--;   1870.000;   -999.000;   0
1932-06-01;--:--;   1970.000;   -999.000;   0
1932-07-01;--:--;   2530.000;   -999.000;   0
1932-08-01;--:--;   1000.000;   -999.000;   0
1932-09-01;--:--;    974.000;   -999.000;   0
1932-10-01;--:--;   2090.000;   -999.000;   0
1932-11-01;--:--;   1190.000;   -999.000;   0
1932-12-01;--:--;   1760.000;   -999.000;   0
1933-01-01;--:--;   1090.000;   -999.000;   0
1933-02-01;--:--;   1320.000;   -999.000;   0
1933-03-01;--:--;   1740.000;   -999.000;   0
1933-04-01;--:--;    961.000;   -999.000;   0
1933-05-01;--:--;   1140.000;   -999.000;   0
1933-06-01;--:--;   1390.000;   -999.000;   0
1933-07-01;--:--;   1140.000;   -999.000;   0
1933-08-01;--:--;    545.000;   -999.000;   0
1933-09-01;--:--;    739.000;   -999.000;   0
1933-10-01;--:--;   1670.000;   -999.000;   0
1933-11-01;--:--;   2440.000;   -999.000;   0
1933-12-01;--:--;   1600.000;   -999.000;   0
1934-01-01;--:--;   1440.000;   -999.000;   0
1934-02-01;--:--;   1060.000;   -999.000;   0
1934-03-01;--:--;   2610.000;   -999.000;   0
1934-04-01;--:--;   2650.000;   -999.000;   0
1934-05-01;--:--;   3470.000;   -999.000;   0
1934-06-01;--:--;   2250.000;   -999.000;   0
1934-07-01;--:--;   1510.000;   -999.000;   0
1934-08-01;--:--;   1570.000;   -999.000;   0
1934-09-01;--:--;   1850.000;   -999.000;   0
1934-10-01;--:--;   1090.000;   -999.000;   0
1934-11-01;--:--;   2950.000;   -999.000;   0
1934-12-01;--:--;   2120.000;   -999.000;   0
1935-01-01;--:--;   1230.000;   -999.000;   0
1935-02-01;--:--;   1300.000;   -999.000;   0
1935-03-01;--:--;   1350.000;   -999.000;   0
1935-04-01;--:--;    914.000;   -999.000;   0
1935-05-01;--:--;   1550.000;   -999.000;   0
1935-06-01;--:--;   2160.000;   -999.000;   0
1935-07-01;--:--;   1070.000;   -999.000;   0
1935-08-01;--:--;   1070.000;   -999.000;   0
1935-09-01;--:--;   1470.000;   -999.000;   0
1935-10-01;--:--;   2480.000;   -999.000;   0
1935-11-01;--:--;   3780.000;   -999.000;   0
1935-12-01;--:--;   2290.000;   -999.000;   0
1936-01-01;--:--;   3030.000;   -999.000;   0
1936-02-01;--:--;   2230.000;   -999.000;   0
1936-03-01;--:--;   3120.000;   -999.000;   0
1936-04-01;--:--;   3260.000;   -999.000;   0
1936-05-01;--:--;   3610.000;   -999.000;   0
1936-06-01;--:--;   3460.000;   -999.000;   0
1936-07-01;--:--;   2600.000;   -999.000;   0
1936-08-01;--:--;   1430.000;   -999.000;   0
1936-09-01;--:--;   1610.000;   -999.000;   0
1936-10-01;--:--;   1350.000;   -999.000;   0
1936-11-01;--:--;   1030.000;   -999.000;   0
1936-12-01;--:--;   1000.000;   -999.000;   0
1937-01-01;--:--;    814.000;   -999.000;   0
1937-02-01;--:--;   1200.000;   -999.000;   0
1937-03-01;--:--;   2200.000;   -999.000;   0
1937-04-01;--:--;   2400.000;   -999.000;   0
